key,title,category,priority,status,paper_doi,dataset_doi,homepage,structured_file_count,data_file_bytes,largest_file,largest_file_bytes,errors
lnp_atlas,LNP Atlas,curated_literature_database,already_integrated,integrated,10.1038/s41597-025-06456-w,10.5281/zenodo.17243733,https://www.nature.com/articles/s41597-025-06456-w,1,1785032,LNP_Atlas_DB_202509_v1.csv,1785032,
lnpdb,LNPDB / LiON source database,curated_literature_database,already_integrated,integrated,10.1038/s41467-026-68818-1,,https://github.com/evancollins1/LNPDB,394,495491274,data/LNPDB_for_LiON/single_split/fingerprints_all_data.csv,98395910,
strathclyde_2025,Influence of ionisable lipid and sterol variations on LNP properties and performance,focused_experimental_workbook,already_integrated,integrated,10.1016/j.jconrel.2025.114056,10.15129/8c088f7e-06f1-45ad-9263-b433e92045ce,https://pureportal.strath.ac.uk/en/datasets/influence-of-ionisable-lipid-and-sterol-variations-on-lipid-nanop/,0,0,,,
agile,AGILE Platform: deep learning-powered acceleration of LNP development for mRNA delivery,high_throughput_mrna_lnp_ml,A_integrate_next,structured_open_data,,10.5281/zenodo.11228093,https://github.com/bowang-lab/AGILE,4,180750627,candidate_set_smiles_plus_features.csv,116969761,
natmat_4cr_2024,Accelerating ionizable lipid discovery for mRNA delivery using ML and combinatorial chemistry,high_throughput_mrna_lnp_ml_supplement,A_literature_supplement_extraction,supplement_pdf_and_embedded_code,10.1038/s41563-024-01867-3,,https://www.nature.com/articles/s41563-024-01867-3,0,0,,,
lumi_lab,LUMI-lab: foundation model-driven autonomous platform for ionizable lipid designs,high_throughput_mrna_lnp_ml,A_integrate_next,structured_open_data,,10.5281/zenodo.17771224,https://zenodo.org/records/17771224,4,464478,4CR-1920.csv,262119,
lumi_lab_suppfigures,LUMI-lab supplementary figure PDFs,high_throughput_mrna_lnp_ml_supplement,B_literature_supplement_extraction,supplement_pdf_only,,10.5281/zenodo.17771148,https://zenodo.org/records/17771148,0,1120777,SupFig_Top5.pdf,50798,
comet_lance,COMET / LANCE lipid nanoparticle transformer data,high_throughput_lnp_transformer,A_integrate_next,structured_open_data,,,https://github.com/alvinchangw/COMET,43,53775327,experiments/in_house_PBAE_lnp_library/demo_in_house_lnp_data_overall_new_full_with_pbae_NPratios_updated_09222023_npratios_09252023gen_fig4cDeployTrain_allastest_lmdb/in_house_lnp/test.json,5350961,
transma,TransMA: explainable multi-modal model for ionizable lipid nanoparticles in mRNA delivery,lnp_delivery_activity_ml,B_audit_overlap,structured_open_data,10.1093/bib/bbaf307,10.48550/arXiv.2407.05736,https://github.com/wklix/TransMA,17,385308,dataset/Hela/scaffold/train.csv,79430,
lnp_ml_lion,LiON / LNP_ML,lnp_ml_code_and_splits,B_audit_overlap,structured_open_data,,,https://github.com/jswitten/LNP_ML,699,128561555,data/all_data.csv,8077574,
a3_coupling_2024,High-throughput synthesis and optimization of ionizable lipids through A3 coupling for efficient mRNA delivery,high_throughput_synthesis_supplement,A_literature_supplement_extraction,supplement_pdf_docx,10.1186/s12951-024-02919-1,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02919-1,0,0,,,
lipobart,LipoBART iPhos lipid data,ionizable_lipid_structure_activity_ml,B_audit_for_material_layer,structured_open_data,,,https://github.com/Sanofi-Public/LipoBART,12,35118020,data/mol2fp_cfp_all_data.json,6240688,
translnp,TransLNP / TransMA data-balanced transformer datasets,lnp_delivery_activity_ml,B_audit_schema_fit,structured_open_data,,,https://github.com/wklix/TransLNP,7,264941,visual_utils/example.csv,88171,
nano_particles_active_learning,Machine learning-guided high throughput nanoparticle design,related_nanoparticle_active_learning,C_related_not_core_rna_lnp,large_structured_open_data,,10.5281/zenodo.8289605,https://github.com/molML/Nano_Particles_Active_Learning,30,9850398904,Ortiz-Perez_2023_all_data.zip,9794791334,
brain_targeted_mrna_lnp_2025,AI-Validated Brain Targeted mRNA Lipid Nanoparticles with Neuronal Tropism,ai_guided_targeted_mrna_lnp_supplement,A_literature_supplement_extraction,supplement_pdf_only,10.1021/acsnano.4c15013,10.5281/zenodo.17132384,https://zenodo.org/records/17132384,0,30975485,movie S3.avi,9049188,
lnp_mod_2025,LNP-MOD: machine-learning assisted morphology/object detection for lipid nanoparticles,lnp_morphology_computer_vision,C_code_only_no_public_training_data,code_model_no_public_dataset,10.1021/acsnano.5c09956,,https://github.com/owenip/LNP_MOD_PUBLIC,2,735,requirements.txt,479,
mrna_lnp_manufacturing_2025,Manufacturing mRNA-Loaded Lipid Nanoparticles with Precise Size and Morphology Control,process_development_supplement,B_literature_supplement_extraction,supplement_pdf_only,10.1021/acsnano.5c09800,,https://pubs.acs.org/doi/10.1021/acsnano.5c09800,0,35770000,nn5c09800_si_001.pdf,35770000,
kumar_ardekani_2025,Machine-learning framework to predict LNP performance for nucleic acid delivery,supplementary_pdf_curated_dataset,A_literature_supplement_extraction,supplement_pdf_only,10.1021/acsabm.4c01716,10.1021/acsabm.4c01716.s001,https://acs.figshare.com/articles/journal_contribution/Machine-Learning_Framework_to_Predict_the_Performance_of_Lipid_Nanoparticles_for_Nucleic_Acid_Delivery/28851323,0,600233,mt4c01716_si_001.pdf,600233,
exosome_mimetic_gan,Machine learning-driven rational design of exosome-mimetic lipid nanoparticles for cancer therapy,synthetic_generated_lnp_candidates,C_synthetic_reference,structured_open_data,,10.5281/zenodo.16928013,https://zenodo.org/records/16928013,1,431741,GAN_generated_Lipiddata_10000.csv,431741,
